Ingredient,teaspoon,tablespoon,cup,large,large head,ounces,grams
Molasses,12,4,1/4,,,3,85
Mushrooms (sliced),48,16,1,,,2 3/4,78
Non-Diastatic Malt Powder,6,2,1/8,,,5/8,18
Nutella,24,8,1/2,,,5 1/4,149
Oat bran,24,8,1/2,,,1 7/8,53
Oat Flour,48,16,1,,,3 1/4,92
Oats (King Arthur Rolled),48,16,1,,,4,113
Oats (old-fashioned or quick-cooking),48,16,1,,,3 1/8,89
Oats (prepared),48,16,1,,,5 1/8,147
Olive oil,12,4,1/4,,,1 3/4,50
Olives (sliced),48,16,1,,,5,142
Onions (fresh diced),48,16,1,,,5,142
Paleo Baking Flour,48,16,1,,,3 5/8,104
Palm shortening,12,4,1/4,,,1 1/2,45
Passion fruit puree,16,5 1/3,1/3,,,2 1/8,60
Pasta Flour Blend,48,16,1,,,5 1/8,145
Pastry Flour,48,16,1,,,3 3/4,106
Pastry Flour Blend,48,16,1,,,4,113
Peaches (peeled and diced),48,16,1,,,6,170
Peanut butter,24,8,1/2,,,4 3/4,135
Peanuts (whole shelled),48,16,1,,,5,142
Pears (peeled and diced),48,16,1,,,5 3/4,163
Pecan Meal,48,16,1,,,2 3/4,80
Pecans (diced),24,8,1/2,,,2,57
Pecans (whole),48,16,1,,,3 3/4,105
Pie Filling Enhancer,12,4,1/4,,,1 5/8,46
Pine nuts,24,8,1/2,,,2 1/2,71
Pineapple (crushed drained),48,16,1,,,9,256
Pineapple (dried),24,8,1/2,,,2 1/2,71
Pineapple (fresh or canned diced),48,16,1,,,6,170
Pistachio nuts (shelled),24,8,1/2,,,2 1/8,60
Pistachio Paste,12,4,1/4,,,2 3/4,78
Pizza Dough Flavor,6,2,1/8,,,4/10,12
Pizza Flour Blend,48,16,1,,,4 3/8,124
Pizza sauce,12,4,1/4,,,2,57
Pizza Seasoning,6,2,1/8,,,1/3,10
Polenta (coarse ground cornmeal),48,16,1,,,5 3/4,163
Poppy seeds,6,2,1/8,,,5/8,18
Potato Flour,12,4,1/4,,,1 5/8,46
Potato starch,48,16,1,,,5 3/8,152
Pumpernickel Flour,48,16,1,,,3 3/4,106
Pumpkin puree,48,16,1,,,8,227
Pumpkin seeds,12,4,1/4,,,1 3/8,40
Queso fresco,24,8,1/2,,,2,57
Quinoa (cooked),48,16,1,,,6 1/2,184
Quinoa (whole),48,16,1,,,6 1/4,177
Quinoa flour,48,16,1,,,3 7/8,110
Raisins (loose),48,16,1,,,5 1/4,149
Raisins (packed),24,8,1/2,,,3,85
Raspberries (fresh),48,16,1,,,4 1/4,120
Rhubarb (sliced),48,16,1,,,4 1/4 to 5,120 to 140
Rice (long grain dry),24,8,1/2,,,3 1/2,99
Rice flour (white),48,16,1,,,5,142
Rice Krispies,48,16,1,,,1,28
Rye Bread Improver,6,2,1/8,,,1/2,14
Rye Chops,48,16,1,,,4 1/4,120
Rye flakes,48,16,1,,,4 3/8,124
Rye Flour Blend,48,16,1,,,3 3/4,106
Salt (Kosher Diamond Crystal),3,1,1/16,,,1/4,8
Salt (Kosher Morton's),3,1,1/16,,,1/2,16
Salt (table),3,1,1/16,,,2/3,18
Scallions (sliced),48,16,1,,,2 1/4,64
Self-Rising Flour,48,16,1,,,4,113
Semolina Flour,48,16,1,,,5 3/4,163
Sesame seeds,24,8,1/2,,,2 1/2,71
Shallots (peeled and sliced),48,16,1,,,5 1/2,156
Six-Grain Blend,48,16,1,,,4 1/2,128
Snow White Non-Melting Topping Sugar,24,8,1/2,,,2,57
Sorghum flour,48,16,1,,,4 7/8,138
Sour cream,48,16,1,,,8,227
Sourdough starter,48,16,1,,,8 to 8 1/2,227 to 241
Soy flour,12,4,1/4,,,1 1/4,35
Sparkling Sugar,12,4,1/4,,,2,57
Spelt Flour,48,16,1,,,3 1/2,99
Sprouted Wheat Flour,48,16,1,,,4,113
Steel cut oats,24,8,1/2,,,2 1/2,70
Sticky Bun Sugar,48,16,1,,,3 1/2,99
Strawberries (fresh sliced),48,16,1,,,5 7/8,167
Sugar (granulated white),48,16,1,,,7,198
Sugar substitute (Splenda),48,16,1,,,7/8,25
Sundried tomatoes (dry pack),48,16,1,,,6,170
Sunflower seeds,12,4,1/4,,,1 1/4,35
Super 10 Blend,48,16,1,,,3 3/4,106
Swedish Pearl Sugar,12,4,1/4,,,1 3/4,49
Sweetened condensed coconut milk,48,16,1,,,10 1/8,288
Sweetened condensed milk,12,4,1/4,,,2 3/4,78
Tahini paste,24,8,1/2,,,4 1/2,128
Tapioca (quick cooking),6,2,1/8,,,3/4,21
Tapioca starch or flour,48,16,1,,,4,113
Tef flour,48,16,1,,,4 3/4,135
The Works Bread Topping,12,4,1/4,,,1 1/4,35
Toasted Almond Flour,48,16,1,,,3 3/8,96
Toffee chunks,48,16,1,,,5 1/2,156
Tomato paste,6,2,1/8,,,1,29
Tropical Fruit Blend,48,16,1,,,4 1/2 to 5,128 to 142
Turbinado sugar (raw),48,16,1,,,6 3/8,180
Unbleached Cake Flour,48,16,1,,,4 1/4,120
Vanilla Extract,3,1,1/16,,,1/2,14
Vegetable oil,48,16,1,,,7,198
Vegetable shortening,12,4,1/4,,,1 5/8,46
Vital Wheat Gluten,6,2,1/8,,,5/8,18
Walnuts (chopped),48,16,1,,,4,113
Walnuts (whole),24,8,1/2,,,2 1/4,64
Water,48,16,1,,,8,227
Wheat berries (red),48,16,1,,,6 1/2,184
Wheat bran,24,8,1/2,,,1 1/8,32
Wheat germ,12,4,1/4,,,1,28
White Chocolate Chips,48,16,1,,,6,170
White Rye Flour,48,16,1,,,3 3/4,106
Whole Grain Flour Blend,48,16,1,,,4,113
Whole Wheat Flour (Premium 100%),48,16,1,,,4,113
Whole Wheat Pastry Flour / Graham Flour,48,16,1,,,3 3/8,96
Yeast (instant),2,2/3,1/24,,,1/5,6
Yeast (instant),2 1/4,3/4,3/64,,,1/4,7
Yeast (instant),3,1,1/16,,,1/3,9
Yogurt,48,16,1,,,8,227
Yuletide Cheer Fruit Blend,48,16,1,,,4 1/2,130
Zucchini (shredded),48,16,1,,,4 1/4 to 5 1/4,121 to 150
